Purchase Price,SKU,Image,Manufacturer,URL,Sale Price,Price,Description,Markup,Item Type,Item Name
179,1006587338,https://images.thdstatic.com/productImages/45d0bddb-734c-4909-87bc-4f5b99e1bc3e/svn/white-glacier-bay-one-piece-toilets-n2420-64_1000.jpg,Glacier Bay,https://www.homedepot.com/p/Glacier-Bay-McClure-12-inch-Rough-In-One-Piece-1-1-GPF-1-6-GPF-Dual-Flush-Elongated-Toilet-in-White-Seat-Included-N2420/317676800,179,179,"This white one-piece toilet by Glacier Bay occupies minimal space while offering the spaciousness of an elongated bowl. This high-efficiency unit delivers 1.1 GPF for liquid flushes and 1.6 for full flushes, both options easily located at the top-mounted push button. This toilet features integrated tank-to-bowl construction for easy cleaning and its soft lines and sleek curves create an elegant design. While conserving water so you can save on your utility bills, this vitreous china-construction toilet is crack-resistant and includes all necessary installation hardware and a slow-close seat.",43%,Cost of Goods Sold,Glacier Bay McClure 12 inch Rough In One-Piece 1.1 GPF/1.6 GPF Dual Flush Elongated Toilet in White Seat Included
439,1004869199,https://images.thdstatic.com/productImages/b208fca1-97ef-4ef4-ae6a-a712867c7398/svn/white-kohler-alcove-bathtubs-k-r23217-la-0-64_1000.jpg,KOHLER,https://www.homedepot.com/p/KOHLER-Elmbrook-60-in-x-30-25-in-Soaking-Bathtub-with-Left-Hand-Drain-in-White-K-R23217-LA-0/311699619,439,439,"The Elmbrook 60 in. alcove bath is a simple, versatile design with timeless style. Defined by sleek lines and an integral apron, this easy-to-clean bath offers a polished look that complements traditional or contemporary bathroom decor. It comes with a lifetime limited warranty.",43%,Cost of Goods Sold,KOHLER Elmbrook 60 in. x 30.25 in. Soaking Bathtub with Left-Hand Drain in White
10.98,256508,https://images.thdstatic.com/productImages/4b5aee92-f52c-4d83-87ec-fe4102637f37/svn/zep-grout-tile-cleaners-zu104632-64_1000.jpg,ZEP,https://www.homedepot.com/p/ZEP-32-fl-oz-Grout-Cleaner-and-Brightener-ZU104632/100619266,10.98,10.98,"Deep cleaning grout is a tough job, even for Pros. Zep 32 oz. Grout Cleaner and Brightener contains strong but safe acids that act as a stain remover for grout lines. This professional strength formula quickly restores stained grout lines on tile floors without the need for heavy scrubbing. The formula is not abrasive to tile surfaces.",43%,Cost of Goods Sold,ZEP 32 fl. oz. Grout Cleaner and Brightener
699,1009818314,https://images.thdstatic.com/productImages/f58c6853-8412-4b68-81b7-c8bb99dbed05/svn/gray-horow-bidet-toilets-t03-64_1000.jpg,HOROW,https://www.homedepot.com/p/HOROW-Tankless-Elongated-Smart-Toilet-Bidet-in-White-with-Auto-Flush-Heated-Seat-Warm-Air-Dryer-Bubble-Infusion-Wash-T03/325175066,699,699,"The HOROW Smart Toilet Bidet System gives your bathroom an upgrade that's easy to install. It features auto flush, a heated seat, an air dryer, massage washing, auto wash and antibiosis nozzle, night light and 6 level safety protection. This luxurious bidet system is designed with a wireless remote so you can change the settings exactly to your liking.",43%,Cost of Goods Sold,"HOROW Tankless Elongated Smart Toilet Bidet in White with Auto Flush, Heated Seat, Warm Air Dryer, Bubble Infusion Wash"
134,1007773039,https://images.thdstatic.com/productImages/c833b45a-96e6-49f0-a295-3abeaaadf1f8/svn/white-panasonic-bath-fans-rg-c811a-64_1000.jpg,Panasonic,https://www.homedepot.com/p/Panasonic-Whisper-Choice-DC-Pick-A-Flow-80-110-CFM-Ceiling-Bathroom-Exhaust-Fan-with-Flex-Z-Fast-Bracket-RG-C811A/320520625,134,134,"The Whisper Choice DC exhaust fan with Pick-A-Flow CFM allows you to choose your airflow, 80 or 110 CFM. Simplify the selection process and ensure optimum CFM performance while eliminating humidity, mold, mildew, and other air pollutants from the bathroom and increasing your air quality. The DC-ECM Motor technology offers reduced energy costs, long life and is environmentally friendly. In addition to bathrooms, this fan is your ventilation solution for medium-to-large sized rooms - laundry room, sunroom, basement, or garage.",43%,Cost of Goods Sold,Panasonic Whisper Choice DC Pick-A-Flow 80/110 CFM Ceiling Bathroom Exhaust Fan with Flex-Z Fast Bracket
249,1003951328,https://images.thdstatic.com/productImages/17405bb9-57a1-4a57-a9ec-82b7f7a493a3/svn/Kohler-Highline-Arc-The-Complete-Solution-2-Piece-Elongated-Toilet-Front_1000.jpg,KOHLER,https://www.homedepot.com/p/KOHLER-Highline-Arc-12-in-Rough-In-2-Piece-1-28-GFP-Single-Flush-Elongated-Chair-Height-Toilet-in-White-with-Soft-Close-Seat-K-78279-0/307908571,249,249,"Trusted for years by professionals, Highline toilets are KOHLER's bestselling toilet family. A brilliant blend of style and water efficiency, this Highline Arc toilet is distinguished by an elegant flared tank. Coupled with KOHLER's powerful canister flush valve, there's no sacrificing performance for design. An innovative 1.28 Gal. flush setting provides significant water savings of up to 16,500 Gal. per year, compared to an old 3.5 Gal. toilet. This Complete Solution package includes everything necessary for installation and is available exclusively at The Home Depot.",43%,Cost of Goods Sold,KOHLER Highline Arc 12 in. Rough In 2-Piece 1.28 GFP Single Flush Elongated Chair Height Toilet in White with Soft Close Seat
129,1004159514,https://images.thdstatic.com/productImages/c6b881cc-9ac4-4ba6-86c9-f767952a53db/svn/white-glacier-bay-two-piece-toilets-n2450e-64_1000.jpg,Glacier Bay,https://www.homedepot.com/p/Glacier-Bay-Power-Flush-12-inch-Rough-In-Two-Piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-N2450E/308702440,129,129,"Replace your old toilet with the Power Flush 2-piece 1.28 GPF High-Efficiency Single Flush Elongated Toilet Featuring Niagara Stealth Technology in White. This toilet features patented hydraulic technology, known as the Stealth. One flush thoroughly evacuates the bowl every time and eliminates double flushing. This toilet has achieved a quiet, powerful and proven flush saving thousands of gallons with no change in consumer use or behavior. The flapper less design means no costly flapper, chains or levers to replace and no leaks ever. Also, this toilet virtually eliminates all refill noise as the fill valve is never exposed.",43%,Cost of Goods Sold,Glacier Bay Power Flush 12 inch Rough In Two-Piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included
279,1005261406,https://images.thdstatic.com/productImages/29cf7f8d-d1b8-40ec-bf6c-69da53b99536/svn/white-kohler-two-piece-toilets-k-31674-0-64_1000.jpg,KOHLER,https://www.homedepot.com/p/KOHLER-Gleam-12-in-Rough-In-2-Piece-1-28-GFP-Single-Flush-Elongated-Chair-Height-Toilet-in-White-with-Soft-Close-Seat-K-31674-0/312838678,279,279,"This WaterSense-labeled high-efficiency toilet delivers water conservation and easy installation in a sleek, skirted design. The Gleam two-piece skirted toilet utilizes Kohler's patented new ReadyLock installation system for easier, more intuitive installation. The skirted trapway installs to the floor flange and attaches to the toilet, eliminating the need to drill holes for a standard 12"" rough-in while still offering the same secure installation as non-skirted toilets.",43%,Cost of Goods Sold,KOHLER Gleam 12 in. Rough In 2-Piece 1.28 GFP Single Flush Elongated Chair Height Toilet in White with Soft Close Seat
239,1004303353,https://images.thdstatic.com/productImages/08bc4c0a-fd46-4a18-9931-cd4dd4f8fc15/svn/white-bio-bidet-bidet-toilet-seats-hd-7000-64_1000.jpg,BIO BIDET,https://www.homedepot.com/p/BIO-BIDET-HD-7000-Electric-Bidet-Seat-for-Elongated-Toilets-in-White-with-Fusion-Heating-Technology-HD-7000/309404961,239,239,"Make a bathroom upgrade with this HD-7000 electric bidet seat. Designed for elongated toilets, it features an oscillating nozzle, posterior wash and softer feminine wash. A heated seat and warm air dryer bring more cleanliness.",43%,Cost of Goods Sold,BIO BIDET HD-7000 Electric Bidet Seat for Elongated Toilets in White with Fusion Heating Technology
109,215583,https://images.thdstatic.com/productImages/6fe20a93-2ab3-453c-b589-a96123a18b20/svn/white-glacier-bay-two-piece-toilets-n2316-64_1000.jpg,Glacier Bay,https://www.homedepot.com/p/Glacier-Bay-12-inch-Rough-In-Two-Piece-1-1-GPF-1-6-GPF-Dual-Flush-Elongated-Toilet-in-White-Seat-Included-N2316/100676582,109,109,"The Glacier Bay 2-Piece High-Efficiency Dual-Flush Complete Elongated Toilet in White delivers powerful 1.1 or 1.6 GPF performance and features a WaterSense certified design to help conserve water. This toilet's vitreous china construction offers resistance to acid, abrasion and staining. The all-in-one product contains the toilet bowl, tank and seat along with a wax ring and floor bolts with caps. It's backed by a limited lifetime warranty.",43%,Cost of Goods Sold,Glacier Bay 12 inch Rough In Two-Piece 1.1 GPF/1.6 GPF Dual Flush Elongated Toilet in White Seat Included
